@relation weka_reduced_10_attributes

@attribute courserating_High {True,False}
@attribute courserating_Low {False,True}
@attribute courserating_Medium {False,True}
@attribute attendance_High {True,False}
@attribute attendance_Low {False,True}
@attribute difficultylevel_High {False,True}
@attribute difficultylevel_Low {True,False}
@attribute coursecontentquality_High {False,True}
@attribute coursecontentquality_Low {False,True}
@attribute coursecontentquality_Medium {True,False}

@data
True,False,False,True,False,False,True,False,False,True
False,False,True,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False
True,False,False,True,False,True,False,False,False,True
True,False,False,True,False,False,True,False,True,False
True,False,False,False,True,False,True,False,True,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,True,False,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,False,False,True
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True
False,False,True,True,False,True,False,False,False,True
False,False,True,True,False,False,True,True,False,False
False,True,False,True,False,False,True,True,False,False
True,False,False,True,False,True,False,False,False,True
False,True,False,True,False,False,True,False,True,False
False,False,True,True,False,True,False,False,False,True
False,True,False,True,False,True,False,False,False,True
False,False,True,True,False,False,True,False,False,True
True,False,False,True,False,False,True,True,False,False
False,True,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,False,False,True
False,True,False,True,False,True,False,False,False,True
True,False,False,True,False,True,False,False,False,True
False,True,False,True,False,False,True,False,False,True
False,True,False,True,False,True,False,False,False,True
False,True,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,False,True
False,False,True,True,False,False,True,False,True,False
False,True,False,True,False,False,True,False,True,False
True,False,False,False,True,False,True,True,False,False
False,False,True,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False
True,False,False,True,False,True,False,False,False,True
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,True,False,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,True,False,False
False,False,True,True,False,True,False,True,False,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False
True,False,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,False,True,True,False,False,False,True
False,True,False,True,False,False,True,False,True,False
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,True,False,False
False,False,True,True,False,True,False,False,True,False
False,False,True,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False
False,True,False,False,True,True,False,True,False,False
True,False,False,True,False,False,True,True,False,False
True,False,False,True,False,True,False,False,False,True
True,False,False,True,False,False,True,False,True,False
True,False,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,False,True,False,True,False
False,True,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,False,True
True,False,False,True,False,True,False,False,True,False
False,False,True,True,False,True,False,False,True,False
False,False,True,True,False,True,False,False,True,False
True,False,False,True,False,True,False,True,False,False
False,False,True,True,False,True,False,True,False,False
False,False,True,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
False,False,True,True,False,True,False,True,False,False
False,True,False,True,False,False,True,True,False,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,False,True,True,False,False
False,True,False,True,False,True,False,False,False,True
False,True,False,True,False,False,True,False,True,False
True,False,False,True,False,False,True,False,False,True
False,False,True,True,False,False,True,True,False,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,False,True,True,False,False
True,False,False,True,False,True,False,False,False,True
False,False,True,True,False,True,False,True,False,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,False,True,False
False,False,True,True,False,False,True,False,True,False
False,True,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,True,False,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,False,True,False
False,False,True,True,False,False,True,True,False,False
True,False,False,False,True,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,False,False,True
True,False,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,False,False,True
False,False,True,True,False,True,False,False,True,False
False,False,True,True,False,True,False,False,True,False
True,False,False,False,True,False,True,False,True,False
True,False,False,False,True,True,False,True,False,False
True,False,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,True,False,False
False,True,False,True,False,False,True,False,False,True
False,True,False,True,False,True,False,True,False,False
False,False,True,True,False,False,True,False,False,True
True,False,False,True,False,False,True,True,False,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,False,True,False,True,False
True,False,False,True,False,True,False,False,False,True
False,True,False,True,False,True,False,False,True,False
False,False,True,True,False,True,False,False,False,True
False,False,True,True,False,False,True,False,False,True
False,True,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,False,True,False,False,True
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,False,False,True
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,False,True
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,False,True
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,True,False,False
False,False,True,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,True,False
False,False,True,False,True,False,True,False,False,True
True,False,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,True,False,False,True,False
False,False,True,True,False,True,False,False,True,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,False,False,True
True,False,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,True,False,False
False,False,True,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,False,True
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,False,True
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,True,False,False
True,False,False,True,False,False,True,False,False,True
False,True,False,True,False,True,False,True,False,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,True,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,False,False,True
False,True,False,True,False,False,True,False,True,False
False,True,False,True,False,False,True,True,False,False
False,False,True,True,False,False,True,True,False,False
True,False,False,True,False,False,True,False,True,False
False,False,True,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,False,True,False,True,False
False,True,False,True,False,True,False,False,False,True
False,True,False,True,False,False,True,True,False,False
False,False,True,True,False,True,False,False,False,True
False,False,True,True,False,True,False,False,True,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,False,True,False,True,False
True,False,False,True,False,True,False,True,False,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,False,True,False,False,True
True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,True,False
False,True,False,True,False,True,False,False,False,True
